_id/$oid,abilities,collect_from,collection,collection_geoloc,company,deliver_by,delivery,delivery_geoloc,id,info,inputItemEventDate/$date,item_name,job_id,list_of_vehicle_type,load_size,maxDate/$date,minDate/$date,nb_of_items_on_job,nb_of_vehicles,order_no,platform,platformKey,requested_by,scenarioKey,task_info,vessel,vesselArrivalEventDate/$date,vesselArrivalEventId,vesselDepartureEventDate/$date,vesselDepartureEventId,vesselLoadEventDate/$date,vesselLoadEventId,vesselUnloadEventDate/$date,vesselUnloadEventId
599c3dcd61b1661ce859fd2e,COR # MISC # GAS # SOL # OX # LIQ # INF,Fri Aug 19 2016 10:00:00 GMT+0100 (GMT),"Schlumberger D&M, Dyce","-2.192722799999956,57.2152227",Shell,Fri Aug 19 2016 12:00:00 GMT+0100 (GMT),SBS Torry Dock,"-2.0774459838867188,57.13810229016563",11,NHD,2017-08-20T23:00:00.000Z,1 x 30' Telescope,1000776,Artic,0.08333333333333333,2017-08-23T10:55:07.000Z,2017-08-20T23:00:00.000Z,12,2,,MURCHISON,3trfuBGdcXHC8giqF,Shipping 470937,DjC83iFkhCFpgG3pk,NHD - Ross Laing,,2017-08-23T10:35:07.000Z,599c3dcc61b1661ce859fc88,2017-08-21T14:00:00.000Z,599c3dcc61b1661ce859fc75,2017-08-21T13:20:00.000Z,599c3dcc61b1661ce859fc66,2017-08-23T10:55:07.000Z,599c3dcd61b1661ce859fce6
599c3dcd61b1661ce859fd2f,,Sat Aug 20 2016 08:00:00 GMT+0100 (GMT),"Ramco Tubulars, Badentoy","-2.148702700000058,57.068941",BP,Sat Aug 20 2016 17:00:00 GMT+0100 (GMT),"ASCO, Albert Quay BP","-2.0829927921295166,57.14157764477307",12,DAB,2017-08-20T23:00:00.000Z,BUNDLE,1000976,Artic,0.021739130434782608,2017-08-23T18:13:53.000Z,2017-08-20T23:00:00.000Z,46,3,Shipping,ALBA,yw4tiBC7RinyYSBzd,Shippinh,DjC83iFkhCFpgG3pk,Yvonne Murray,,2017-08-23T18:03:53.000Z,599c3dcd61b1661ce859fca1,2017-08-22T05:55:00.000Z,599c3dcc61b1661ce859fc80,2017-08-22T05:40:00.000Z,599c3dcc61b1661ce859fc63,2017-08-23T18:13:53.000Z,599c3dcd61b1661ce859fd20
599c3dcd61b1661ce859fd30,,Sat Aug 20 2016 08:00:00 GMT+0100 (GMT),"Ramco Tubulars, Badentoy","-2.148702700000058,57.068941",BP,Sat Aug 20 2016 17:00:00 GMT+0100 (GMT),"ASCO, Albert Quay BP","-2.0829927921295166,57.14157764477307",13,DAB,2017-08-20T23:00:00.000Z,BUNDLE,1000976,Artic,0.021739130434782608,2017-08-22T19:04:12.000Z,2017-08-20T23:00:00.000Z,46,3,Shipping,ALBA,yw4tiBC7RinyYSBzd,Shippinh,DjC83iFkhCFpgG3pk,Yvonne Murray,,2017-08-22T18:44:12.000Z,599c3dcd61b1661ce859fccd,2017-08-21T16:10:00.000Z,599c3dcc61b1661ce859fc7b,2017-08-21T15:30:00.000Z,599c3dcc61b1661ce859fc6a,2017-08-22T19:04:12.000Z,599c3dcd61b1661ce859fd15
599c3dcd61b1661ce859fd31,,Sat Aug 20 2016 08:00:00 GMT+0100 (GMT),"Ramco Tubulars, Badentoy","-2.148702700000058,57.068941",BP,Sat Aug 20 2016 17:00:00 GMT+0100 (GMT),"ASCO, Albert Quay BP","-2.0829927921295166,57.14157764477307",14,DAB,2017-08-20T23:00:00.000Z,BUNDLE,1000976,Artic,0.021739130434782608,2017-08-24T06:54:22.000Z,2017-08-20T23:00:00.000Z,46,3,Shipping,ALBA,yw4tiBC7RinyYSBzd,Shippinh,DjC83iFkhCFpgG3pk,Yvonne Murray,,2017-08-24T06:44:22.000Z,599c3dcd61b1661ce859fcb7,2017-08-22T06:10:00.000Z,599c3dcc61b1661ce859fc7d,2017-08-22T05:55:00.000Z,599c3dcc61b1661ce859fc6d,2017-08-24T06:54:22.000Z,599c3dcd61b1661ce859fd16
599c3dcd61b1661ce859fd32,,Sat Aug 20 2016 08:00:00 GMT+0100 (GMT),"Ramco Tubulars, Badentoy","-2.148702700000058,57.068941",BP,Sat Aug 20 2016 17:00:00 GMT+0100 (GMT),"ASCO, Albert Quay BP","-2.0829927921295166,57.14157764477307",15,DAB,2017-08-20T23:00:00.000Z,47' Bsk CBQ372,1000976,Artic,0.021739130434782608,2017-08-24T17:45:46.000Z,2017-08-20T23:00:00.000Z,46,3,Shipping,ALBA,yw4tiBC7RinyYSBzd,Shippinh,DjC83iFkhCFpgG3pk,Yvonne Murray,,2017-08-24T17:35:46.000Z,599c3dcd61b1661ce859fcbe,2017-08-21T12:50:00.000Z,599c3dcc61b1661ce859fc74,2017-08-21T11:30:00.000Z,599c3dcc61b1661ce859fc67,2017-08-24T17:45:46.000Z,599c3dcd61b1661ce859fce2
599c3dcd61b1661ce859fd33,,Sat Aug 20 2016 08:00:00 GMT+0100 (GMT),"Ramco Tubulars, Badentoy","-2.148702700000058,57.068941",BP,Sat Aug 20 2016 17:00:00 GMT+0100 (GMT),"ASCO, Albert Quay BP","-2.0829927921295166,57.14157764477307",16,DAB,2017-08-20T23:00:00.000Z,BUNDLE,1000976,Artic,0.021739130434782608,2017-08-25T11:48:02.000Z,2017-08-20T23:00:00.000Z,46,3,Shipping,ALBA,yw4tiBC7RinyYSBzd,Shippinh,DjC83iFkhCFpgG3pk,Yvonne Murray,,2017-08-25T11:38:02.000Z,599c3dcd61b1661ce859fcc2,2017-08-21T07:50:00.000Z,599c3dcc61b1661ce859fc7f,2017-08-21T07:05:00.000Z,599c3dcc61b1661ce859fc5d,2017-08-25T11:48:02.000Z,599c3dcd61b1661ce859fcf6
599c3dcd61b1661ce859fd34,,Sat Aug 20 2016 08:00:00 GMT+0100 (GMT),"Ramco Tubulars, Badentoy","-2.148702700000058,57.068941",BP,Sat Aug 20 2016 17:00:00 GMT+0100 (GMT),"ASCO, Albert Quay BP","-2.0829927921295166,57.14157764477307",17,DAB,2017-08-20T23:00:00.000Z,BUNDLE,1000976,Artic,0.021739130434782608,2017-08-23T05:20:00.000Z,2017-08-20T23:00:00.000Z,46,3,Shipping,ALBA,yw4tiBC7RinyYSBzd,Shippinh,DjC83iFkhCFpgG3pk,Yvonne Murray,,2017-08-23T05:00:00.000Z,599c3dcd61b1661ce859fc9b,2017-08-22T05:40:00.000Z,599c3dcc61b1661ce859fc76,2017-08-22T05:00:00.000Z,599c3dcc61b1661ce859fc69,2017-08-23T05:20:00.000Z,599c3dcd61b1661ce859fd06
599c3dcd61b1661ce859fd35,,Sat Aug 20 2016 08:00:00 GMT+0100 (GMT),"Ramco Tubulars, Badentoy","-2.148702700000058,57.068941",BP,Sat Aug 20 2016 17:00:00 GMT+0100 (GMT),"ASCO, Albert Quay BP","-2.0829927921295166,57.14157764477307",18,DAB,2017-08-20T23:00:00.000Z,BUNDLE,1000976,Artic,0.021739130434782608,2017-08-24T07:24:22.000Z,2017-08-20T23:00:00.000Z,46,3,Shipping,ALBA,yw4tiBC7RinyYSBzd,Shippinh,DjC83iFkhCFpgG3pk,Yvonne Murray,,2017-08-24T07:14:22.000Z,599c3dcd61b1661ce859fcca,2017-08-21T07:05:00.000Z,599c3dcc61b1661ce859fc70,2017-08-21T06:25:00.000Z,599c3dcc61b1661ce859fc5e,2017-08-24T07:24:22.000Z,599c3dcd61b1661ce859fcdb
599c3dcd61b1661ce859fd36,,Sat Aug 20 2016 08:00:00 GMT+0100 (GMT),"Ramco Tubulars, Badentoy","-2.148702700000058,57.068941",BP,Sat Aug 20 2016 17:00:00 GMT+0100 (GMT),"ASCO, Albert Quay BP","-2.0829927921295166,57.14157764477307",19,DAB,2017-08-20T23:00:00.000Z,BUNDLE,1000976,Artic,0.021739130434782608,2017-08-22T19:04:12.000Z,2017-08-20T23:00:00.000Z,46,3,Shipping,ALBA,yw4tiBC7RinyYSBzd,Shippinh,DjC83iFkhCFpgG3pk,Yvonne Murray,,2017-08-22T18:44:12.000Z,599c3dcd61b1661ce859fccd,2017-08-21T16:10:00.000Z,599c3dcc61b1661ce859fc7b,2017-08-21T15:30:00.000Z,599c3dcc61b1661ce859fc6a,2017-08-22T19:04:12.000Z,599c3dcd61b1661ce859fd15
599c3dcd61b1661ce859fd37,,Sat Aug 20 2016 08:00:00 GMT+0100 (GMT),"Ramco Tubulars, Badentoy","-2.148702700000058,57.068941",BP,Sat Aug 20 2016 17:00:00 GMT+0100 (GMT),"ASCO, Albert Quay BP","-2.0829927921295166,57.14157764477307",20,DAB,2017-08-20T23:00:00.000Z,47' BSK CBQ009,1000976,Artic,0.021739130434782608,2017-08-25T19:48:46.000Z,2017-08-20T23:00:00.000Z,46,3,Shipping,ALBA,yw4tiBC7RinyYSBzd,Shippinh,DjC83iFkhCFpgG3pk,Yvonne Murray,,2017-08-25T19:38:46.000Z,599c3dcd61b1661ce859fcb1,2017-08-21T11:30:00.000Z,599c3dcc61b1661ce859fc7a,2017-08-21T11:05:00.000Z,599c3dcc61b1661ce859fc60,2017-08-25T19:48:46.000Z,599c3dcd61b1661ce859fce8
