Problem Solving,CM4105,,,,,,,,
AI and Data Science,CM4105,,CM4107,CM4125,,,CM4126,,
Security,CM4105,,,,,,,,
Design,CM4105,,,CM4125,,CM4110,,,
Professional Skills,CM4105,,,,,,,,
Programing,CM4105,CM4106,,,CM4025,,,,
Multi Platform Development,CM4105,,,,CM4025,,,,
