Problem Solving,CM1102,CM1109,CM1112,,,CM1113,,,
AI and Data Science,CM1102,,,,,,,,
Security,,,,CM1110,,,,CM1111,
Design,,,,,CM1108,,CM1114,,CM1105
Professional Skills,CM1102,,,,,,,,
Programing,,CM1109,CM1112,,,CM1113,CM1114,,
Multi Platform Development,,CM1109,,,,,CM1114,,
