Problem Solving,CM2100,,,CM3109,,,,,
AI and Data Science,,,,,CM2101,,,,
Security,,,,CM3109,,,,,
Design,,CM2104,,,,,,,
Professional Skills,,,CM2112,,,,,,
Programing,CM2100,CM2104,,,CM2110,,,,
Multi Platform Development,,CM2104,,,CM2110,,,,
